id,question,answer,answer_value,answer_unit,is_blank,ref_id,ref_url,supporting_materials,evidence_type,explanation
q003,What is the name of the benchmark suite presented in a recent paper for measuring inference energy consumption?,ML.ENERGY Benchmark,ML.ENERGY Benchmark,is_blank,false,['chung2025'],['https://arxiv.org/pdf/2505.06371'],"We present the ML.ENERGY Benchmark, a benchmark suite and tool for measuring inference energy consumption under realistic service environments",text,Directly stated in the supporting text.
q009,What were the net CO2e emissions from training the GShard-600B model?,4.3,4.3,tCO2e,false,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],GShard-600B’s emissions (Table 4) are 4.3 tCO2e —3.5 passenger SF-NY round trips—from consuming 24 MWh to train the model,table,Emissions data listed in Table 4.
q054,What is the model size in gigabytes (GB) for the LLaMA-33B model?,,is_blank,GB,true,"['samsi2024', 'chung2025', 'morrison2025']",['https://arxiv.org/pdf/2310.03003'],"samsi2024: generation
length of 256. The 7B model was run on a single GPU and
TABLE II: Baseline configurations for LLaMA 7B, 13B,
and 65B: This table lists the bare minimum hardware required
for different models and the maximum batch size possible
given the bare minimum hardware for a max response length
of 2
samsi2024: h
size.
Fig. 7: Energy per output token estimates of LLaMA 65B
across batch sizes of 64/128/256/512 and 8/16/32 shards for
max generation length 1024 : inference energy estimates on
Alpaca and GSM8K on log-scale. Color indicates batch size.
samsi2024: om each dataset.
2) Inference Energy: Figure 3 shows a comparison of the
energy per second required to run inference on LLaMA 7B,
13B, and 65B, with different GPUs under the same bare mini-
mum hardware settings as the above. For both the Alpaca and
GSM8K datasets, we see that there is a considerabl",text,Model size not directly provided in given texts.
q062,"What was the total electricity consumption of all Google Cloud TPU pods worldwide in 2023, in megawatt-hours?",,is_blank,MWh,true,"['patterson2021', 'cottier2024', 'jegham2025']",['https://arxiv.org/pdf/2104.10350'],"patterson2021: 46   for   TPU   v2,   123   for   TPU   v3,   and   125   for   V100.   
6   
Model   
Evolved   
Trans-   
former   
NAS   
T5   Meena   Gshard   
-600B   
Switch   
Trans-   
former   
GPT-3   
Number   of   Parameters   (B)   0.064   per  
model  11  2.6  619  1500  175  
Percent   of   model   
patterson2021: n   this   paper,   plus   airline   travel   CO 2 e   
used   for   perspective   on   the   relative   size   of   ML   emissions   compared   to   other   activities   (Section   4.8).   
4  The   peak   TeraFLOPS/second   is   19   for   P100   and   46   for   TPU   v2.   
5  Training   on   TP
patterson2021: ase   clean   energy   directly   (e.g.,   Iowa).   In   2020   Google   announced   a   new   objective   
in   its   energy   strategy:   by   2030,   it   aims   to   run   all   Google   datacenters   and   offices   on   carbon-free   energy   24/7.   
For   our   24/7   carbon-free   energy   ",text,No specific data on TPU pod consumption provided.
q075,True or False: Hyperscale data centers in 2020 achieved more than 40% higher efficiency compared to traditional data centers.,True,1,is_blank,false,['wu2021b'],['https://arxiv.org/pdf/2108.06738'],"between traditional and highly optimized hyperscale data centers, power usage effectiveness (PUE) has a stark difference – more than 40% higher efﬁciency for hyperscale data centers",text,Text directly states >40% higher efficiency.
q078,"For every medium-length GPT-3 completion (prompt= 800 words; response 150 - 300 words), roughly how many 500 mL bottles of water does the model 'drink'?",yes,10,500 mL bottles,false,['li2025b'],['https://arxiv.org/pdf/2304.03271'],"GPT-3 needs to “drink” (i.e., consume) a500ml bottle of waterfor roughly 10 – 50 medium-length responses, depending on when and where it is deployed.",text,Direct quote supports water consumption per responses.
q091,"From a sample of 60 papers from top AI conferences, what is the difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency?",55,55,percent,false,['schwartz2019'],['https://arxiv.org/pdf/1907.10597'],"As shown in Figure 2, in all conferences we considered, a large majority of the papers target accuracy (90% of ACL papers, 80% of NeurIPS papers and 75% of CVPR papers). Moreover, for both empirical AI conferences (ACL and CVPR) only a small portion (10% and 20% respectively) argue for a new efﬁciency result.",figure,Figure 2 shows percentages for CVPR papers targeting accuracy and efficiency.
q102,"True or False: The AI Act makes energy consumption data from providers publicly available to NGOs, analysts, and the general public.",False,0,is_blank,false,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],"This information is restricted to authorities and is not accessible to downstream providers (unless the proposed interpretation from 2) is applied) or the general public, due to confidentiality clauses in Articles 21(3), 53(7), and 78(1)",text,Information restricted by confidentiality clauses.
q105,What is the projected maximum batch size (in samples) for fine-tuning a Mixtral model with a projected GPU capacity of 100?,28,28,samples,false,['xia2024'],['https://arxiv.org/pdf/2408.04693'],"For GPU memory capacities of 100GB and 120GB, our model predicts that the maximum batch sizes supported for fine-tuning Mixtral will be 28 and 35, respectively.",text,Directly stated in the text.
q106,What was the approximate speedup in inference throughput for LLaMA-7B when using NVIDIA A100 GPUs compared to V100 GPUs?,2,2,multiplier,false,['samsi2024'],['https://arxiv.org/pdf/2310.03003'],"particularly for the smaller LLaMA 7B and 13B, we see anywhere from a 2 times (7B) to a 1.25 times increase (13B) in inference latency on the A100 when compared to the V100 across words per second, tokens per second, and responses per second.",text,Speedup mentioned directly in text.
