id,question,answer,answer_value,answer_unit,is_blank,ref_id,ref_url,supporting_materials,evidence_type,explanation
q003,What is the name of the benchmark suite presented in a recent paper for measuring inference energy consumption?,ML.ENERGY Benchmark,ML.ENERGY Benchmark,is_blank,false,['chung2025'],['https://arxiv.org/pdf/2505.06371'],"The ML.ENERGY Benchmark is the first inference energy benchmark for modern generative AI models, and empowers users to not only measure but also optimize the energy consumption of their models.",text,First inference energy benchmark for modern generative AI models.
q009,What were the net CO2e emissions from training the GShard-600B model?,Net CO2e emissions from training the GShard-600B model,4.3,tCO2e,false,['patterson2021'],['https://arxiv.org/pdf/2104.10350'],GShard-600B’s emissions (Table 4) are 4.3 tCO2e —3.5 passenger SF-NY round trips—from consuming 24 MWh to train the model that could have 2B users; the amortized per-user CO2e impact of model training would be less than the CO2e impact of sending one text message.,table,GShard-600B’s emissions (Table 4)
q054,What is the model size in gigabytes (GB) for the LLaMA-33B model?,,is_blank,GB,true,['samsi2024'],['https://arxiv.org/pdf/2310.03003'],The model size in gigabytes (GB) for the LLaMA-33B model is not provided.,text,Not provided in text.
q062,"What was the total electricity consumption of all Google Cloud TPU pods worldwide in 2023, in megawatt-hours?",,is_blank,MWh,true,"['patterson2021', 'cottier2024', 'jegham2025']",['https://arxiv.org/pdf/2104.10350'],The context does not provide specific information about the total electricity consumption of all Google Cloud TPU pods worldwide in 2023.,text,No specific data provided.
q075,True or False: Hyperscale data centers in 2020 achieved more than 40% higher efficiency compared to traditional data centers.,True,40,is_blank,false,['wu2021b'],['https://arxiv.org/pdf/2108.06738'],"Furthermore, between traditional and highly optimized hyperscale data centers, power usage effectiveness (PUE) has a stark difference – more than 40% higher efficiency for hyperscale data centers (Figure 1).",figure,Figure 1 shows >40% higher efficiency for hyperscale.
q078,"For every medium-length GPT-3 completion (prompt= 800 words; response 150 - 300 words), roughly how many 500 mL bottles of water does the model 'drink'?",For every medium-length GPT-3 completion,500,500 mL bottles,false,['li2025b'],['https://arxiv.org/pdf/2304.03271'],"GPT-3 needs to “drink” (i.e., consume) a 500ml bottle of water for roughly 10 – 50 medium-length responses, depending on when and where it is deployed.",text,GPT-3 needs 500ml per 10-50 responses.
q091,"From a sample of 60 papers from top AI conferences, what is the difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency?",difference between the percentage of CVPR papers that target accuracy and the percentage of CVPR papers that target efficiency,-15,percent,false,['schwartz2019'],['https://arxiv.org/pdf/1907.10597'],"As shown in Figure 2, in all conferences we considered, a large majority of the papers target accuracy (90% of ACL papers, 80% of NeurIPS papers and 75% of CVPR papers). Moreover, for both empirical AI conferences (ACL and CVPR) only a small portion (10% and 20% respectively) argue for a new efficiency result.",figure,Shows percentages of CVPR papers targeting accuracy and efficiency.
q102,"True or False: The AI Act makes energy consumption data from providers publicly available to NGOs, analysts, and the general public.",False,0,is_blank,false,['ebert2024'],['https://arxiv.org/pdf/2410.06681'],"Where the Act does mandate the disclosure of energy con-
sumption, this information is restricted to authorities and is not accessible to
downstream providers (unless the proposed interpretation from 2) is applied) or
the general public, due to confidentiality clauses in Articles 21(3), 53(7), and 78(1) [4].",text,Restricts access to energy consumption data due to confidentiality clauses.
q105,What is the projected maximum batch size (in samples) for fine-tuning a Mixtral model with a projected GPU capacity of 100?,28,28,samples,false,['xia2024'],['https://arxiv.org/pdf/2408.04693'],"For GPU memory capacities of 100GB and 120GB, our model predicts that the maximum batch sizes supported for fine-tuning Mixtral will be 28 and 35, respectively.",text,Predicted max batch size for 100GB GPU
q106,What was the approximate speedup in inference throughput for LLaMA-7B when using NVIDIA A100 GPUs compared to V100 GPUs?,,is_blank,multiplier,true,"['samsi2024', 'fernandez2025']",['https://arxiv.org/pdf/2310.03003'],"samsi2024: where from a 2
times (7B) to a 1.25 times increase (13B) in inference latency
on the A100 when compared to the V100 across words per
second, tokens per second, and responses per second. Faster
response rates and inference are likely due to the fact that
the number of computations, directly related t
samsi2024: om each dataset.
2) Inference Energy: Figure 3 shows a comparison of the
energy per second required to run inference on LLaMA 7B,
13B, and 65B, with different GPUs under the same bare mini-
mum hardware settings as the above. For both the Alpaca and
GSM8K datasets, we see that there is a considerabl
samsi2024: etc.
Given the sizes of the models, the size of the data, and the
hardware memory limits, we only show results from experi-
ments that were possible for a given combination of parameters
(i.e., for some models, certain combinations of batch size and
number of shards are infeasible due to memory limi",figure,Comparison of inference performance between A100 and V100 GPUs
